Consumidor;NBO 1;NBO 2;NBO 3;NBO 4;NBO 5;Score NBO 1;Score NBO 2;Score NBO 3;Score NBO 4;Score NBO 5
4558;1;23;47;54;69;0,970;0,830;0,630;0,560;0,750
4559;18;31;38;59;68;0,660;0,630;0,670;0,630;0,720
4560;15;21;45;60;71;0,720;0,940;0,680;0,810;0,530
4561;3;28;35;66;77;0,510;0,740;0,820;0,660;0,660
4562;7;25;38;58;72;0,650;0,920;0,670;0,700;0,900
4563;20;30;46;58;79;0,910;0,820;0,530;0,690;0,700
4564;17;24;44;66;80;0,920;0,560;0,690;0,880;0,900
4565;4;32;35;65;79;0,640;0,910;0,680;0,970;0,670
4566;17;21;42;63;74;0,550;0,570;0,580;0,770;0,900
4567;10;30;39;66;77;0,610;0,630;0,890;0,810;0,910
4568;18;22;35;65;67;0,790;0,740;0,670;0,660;0,570
4569;10;33;49;63;77;0,780;0,930;0,850;0,780;0,570
4570;20;29;44;55;67;0,970;0,890;0,900;0,950;0,920
4571;1;30;43;57;70;0,600;0,630;0,970;0,800;0,690
4572;9;24;48;66;71;0,660;0,830;0,680;0,980;0,840
4573;1;30;37;54;78;0,770;0,950;0,620;0,510;0,720
4574;12;28;37;62;70;0,640;0,590;0,910;0,870;0,710
4575;6;28;37;63;75;0,620;0,650;0,610;0,820;0,670
4576;2;24;47;59;72;0,700;0,640;0,810;0,530;0,800
4577;4;25;39;64;75;0,510;0,850;0,910;0,940;0,970
4578;2;23;50;54;77;0,920;0,960;0,630;0,510;0,920
4579;14;23;38;52;68;0,790;0,770;0,720;0,810;0,970
4580;1;31;48;52;68;0,710;0,950;0,870;0,550;0,720
4581;20;32;39;65;74;0,650;0,910;0,780;0,890;0,810
4582;15;29;42;51;78;0,900;0,620;0,630;0,710;0,850
4583;9;32;48;65;73;0,940;0,910;0,850;0,750;0,550
4584;6;24;40;52;69;0,900;0,520;0,560;0,530;0,590
4585;5;33;48;53;69;0,880;0,720;0,690;0,570;0,890
4586;9;21;45;66;74;0,820;0,970;0,530;0,730;0,760
4587;15;28;50;57;78;0,730;0,710;0,620;0,590;0,870
4588;3;22;44;57;67;0,690;0,640;0,630;0,660;0,900
4589;7;33;50;52;69;0,840;0,570;0,650;0,750;0,930
4590;5;26;35;59;79;0,690;0,950;0,520;0,900;0,760
4591;3;29;42;54;70;0,640;0,830;0,890;0,570;0,930
4592;12;31;40;63;79;0,730;0,710;0,590;0,590;0,920
4593;11;26;34;66;76;0,980;0,620;0,770;0,710;0,510
4594;10;30;41;62;79;0,670;0,570;0,700;0,580;0,720
4595;19;30;49;61;70;0,940;0,700;0,630;0,670;0,830
4596;7;23;35;53;67;0,700;0,690;0,680;0,850;0,610
4597;1;32;35;64;76;0,700;0,690;0,980;0,830;0,740
4598;19;21;44;54;70;0,800;0,590;0,600;0,940;0,520
4599;19;26;41;54;80;0,680;0,760;0,750;0,580;0,970
4600;14;28;45;57;69;0,820;0,970;0,600;0,570;0,680
4601;12;29;41;53;79;0,640;0,770;0,790;0,890;0,730
4602;12;25;34;61;68;0,660;0,910;0,710;0,860;0,740
4603;12;26;42;52;72;0,760;0,760;0,740;0,900;0,730
4604;6;29;42;56;79;0,750;0,700;0,770;0,840;0,560
4605;10;22;34;65;75;0,560;0,640;0,860;0,890;0,580
4606;3;33;42;65;76;0,570;0,830;0,950;0,790;0,920
4607;15;23;37;61;68;0,640;0,830;0,510;0,950;0,900
4608;13;31;36;65;70;0,670;0,710;0,660;0,940;0,770
4609;3;30;39;57;71;0,620;0,530;0,980;0,860;0,880
4610;2;21;44;57;68;0,750;0,910;0,590;0,830;0,920
4611;19;23;35;53;72;0,920;0,720;0,840;0,800;0,800
4612;5;22;36;64;76;0,870;0,590;0,660;0,840;0,760
4613;8;28;42;51;77;0,680;0,670;0,650;0,780;0,830
4614;6;21;39;65;77;0,950;0,880;0,890;0,640;0,620
4615;3;28;38;58;68;0,530;0,730;0,670;0,880;0,630
4616;8;28;34;66;73;0,670;0,800;0,630;0,530;0,810
4617;2;28;37;57;69;0,690;0,530;0,790;0,730;0,770
4618;10;29;41;56;75;0,670;0,950;0,970;0,580;0,810
4619;17;25;37;61;78;0,850;0,750;0,550;0,970;0,760
4620;17;29;43;55;76;0,700;0,740;0,890;0,710;0,630
4621;15;26;49;66;75;0,860;0,740;0,560;0,550;0,890
4622;18;27;34;51;75;0,520;0,930;0,740;0,660;0,970
4623;1;26;38;53;79;0,510;0,850;0,610;0,610;0,840
4624;17;22;44;56;74;0,910;0,550;0,700;0,660;0,930
4625;8;25;49;51;79;0,880;0,800;0,970;0,900;0,510
4626;14;21;50;53;76;0,890;0,540;0,570;0,590;0,860
4627;15;21;50;57;73;0,780;0,890;0,540;0,950;0,540
4628;9;26;36;59;67;0,650;0,680;0,650;0,700;0,900
4629;5;33;42;66;80;0,640;0,890;0,810;0,870;0,970
4630;3;27;48;64;72;0,610;0,820;0,760;0,510;0,840
4631;6;27;46;61;68;0,750;0,950;0,920;0,810;0,940
4632;19;25;49;53;71;0,560;0,730;0,670;0,530;0,670
4633;12;29;36;65;71;0,680;0,540;0,580;0,510;0,720
4634;9;26;38;66;80;0,960;0,550;0,590;0,790;0,560
4635;2;32;39;53;68;0,770;0,680;0,760;0,770;0,530
4636;15;28;39;58;69;0,610;0,650;0,830;0,730;0,960
4637;20;30;39;61;71;0,950;0,770;0,880;0,910;0,700
4638;14;33;35;63;70;0,670;0,750;0,730;0,790;0,540
4639;9;30;42;53;72;0,980;0,590;0,960;0,530;0,560
4640;15;27;42;61;77;0,870;0,510;0,960;0,580;0,540
4641;4;30;45;55;74;0,960;0,770;0,670;0,720;0,570
4642;11;33;50;64;71;0,860;0,900;0,810;0,730;0,630
4643;16;27;43;54;71;0,960;0,860;0,620;0,800;0,590
4644;10;29;47;53;70;0,760;0,720;0,520;0,920;0,720
4645;6;26;37;61;77;0,710;0,980;0,620;0,510;0,760
4646;9;21;49;52;74;0,800;0,740;0,880;0,680;0,790
4647;12;32;36;64;80;0,530;0,860;0,640;0,680;0,580
4648;20;26;49;52;80;0,970;0,950;0,730;0,930;0,710
4649;7;27;46;52;67;0,900;0,730;0,890;0,530;0,650
4650;7;26;46;61;67;0,840;0,910;0,710;0,860;0,570
4651;18;33;39;63;80;0,970;0,620;0,920;0,610;0,510
4652;20;26;35;66;69;0,590;0,850;0,920;0,880;0,790
4653;15;31;44;55;68;0,680;0,550;0,920;0,630;0,840
4654;19;26;48;65;75;0,760;0,660;0,570;0,680;0,570
4655;11;25;49;51;68;0,550;0,520;0,520;0,700;0,580
4656;7;31;38;54;67;0,850;0,650;0,530;0,750;0,560
4657;7;23;38;60;76;0,590;0,610;0,620;0,700;0,630
4658;9;31;39;52;69;0,650;0,880;0,810;0,650;0,580
4659;1;33;35;51;79;0,820;0,860;0,570;0,590;0,830
4660;19;29;44;66;77;0,570;0,750;0,720;0,910;0,880
4661;19;30;38;60;73;0,610;0,720;0,670;0,960;0,620
4662;1;21;43;66;79;0,610;0,840;0,680;0,750;0,970
4663;20;28;38;64;76;0,550;0,840;0,760;0,700;0,860
4664;5;26;48;59;70;0,820;0,740;0,670;0,580;0,840
4665;20;22;39;61;71;0,820;0,780;0,680;0,550;0,750
4666;19;28;49;54;72;0,690;0,900;0,650;0,610;0,780
4667;8;22;42;57;80;0,530;0,700;0,550;0,560;0,810
4668;19;26;44;56;71;0,690;0,980;0,660;0,540;0,730
4669;14;26;36;54;73;0,710;0,950;0,970;0,680;0,750
4670;4;32;42;61;68;0,650;0,660;0,540;0,720;0,970
4671;13;31;42;59;71;0,860;0,620;0,980;0,510;0,810
4672;17;28;49;56;77;0,800;0,510;0,580;0,960;0,900
4673;3;32;49;60;80;0,750;0,870;0,960;0,930;0,810
4674;19;24;41;61;74;0,960;0,880;0,870;0,970;0,630
4675;19;22;42;52;76;0,720;0,760;0,590;0,850;0,890
4676;2;25;35;56;69;0,520;0,800;0,550;0,760;0,660
4677;15;23;45;66;67;0,650;0,960;0,510;0,790;0,660
4678;1;23;46;63;77;0,740;0,820;0,730;0,610;0,810
4679;10;30;49;55;74;0,760;0,690;0,610;0,800;0,680
4680;14;33;44;56;74;0,510;0,590;0,790;0,870;0,870
4681;17;28;42;59;78;0,850;0,930;0,880;0,510;0,530
4682;18;31;49;55;75;0,950;0,670;0,620;0,550;0,970
4683;12;31;44;65;71;0,530;0,550;0,750;0,960;0,730
4684;7;23;49;59;78;0,830;0,840;0,790;0,710;0,610
4685;11;33;49;56;72;0,740;0,800;0,740;0,910;0,750
4686;4;29;44;58;77;0,770;0,720;0,940;0,560;0,930
4687;18;30;34;63;79;0,930;0,560;0,540;0,830;0,520
4688;18;32;34;64;69;0,790;0,680;0,680;0,510;0,950
4689;18;33;44;55;69;0,710;0,810;0,510;0,570;0,720
4690;6;21;50;54;80;0,810;0,980;0,650;0,630;0,810
4691;3;21;39;63;70;0,670;0,860;0,520;0,960;0,820
4692;12;21;40;51;73;0,890;0,850;0,640;0,730;0,860
4693;19;31;47;64;67;0,780;0,580;0,540;0,830;0,760
4694;5;29;35;58;68;0,940;0,780;0,520;0,630;0,560
4695;3;33;43;60;68;0,580;0,910;0,570;0,660;0,520
4696;13;28;40;63;79;0,880;0,940;0,630;0,790;0,730
4697;18;26;35;64;80;0,530;0,690;0,690;0,810;0,860
4698;7;33;43;54;69;0,820;0,640;0,720;0,560;0,580
4699;16;25;37;53;75;0,710;0,980;0,740;0,770;0,910
4700;5;31;36;56;68;0,560;0,720;0,870;0,910;0,660
4701;15;21;49;56;76;0,560;0,670;0,670;0,650;0,770
4702;1;31;36;55;72;0,590;0,790;0,860;0,670;0,540
4703;3;31;46;56;67;0,840;0,810;0,530;0,520;0,540
4704;12;24;38;64;75;0,680;0,890;0,660;0,790;0,560
4705;2;29;47;65;68;0,630;0,820;0,640;0,970;0,530
4706;2;29;47;57;75;0,640;0,860;0,860;0,900;0,550
4707;4;33;40;60;71;0,650;0,580;0,760;0,930;0,540
4708;19;29;49;65;76;0,670;0,580;0,960;0,620;0,520
4709;5;23;49;64;71;0,690;0,930;0,790;0,770;0,710
4710;1;30;45;59;77;0,850;0,770;0,510;0,520;0,870
4711;18;22;43;61;79;0,850;0,820;0,780;0,790;0,770
4712;6;26;43;61;71;0,920;0,740;0,750;0,840;0,860
4713;5;21;48;58;72;0,860;0,700;0,530;0,530;0,820
4714;15;24;47;62;68;0,540;0,520;0,820;0,740;0,630
4715;5;21;48;56;69;0,810;0,910;0,750;0,880;0,740
4716;18;29;39;63;77;0,650;0,550;0,840;0,510;0,940
4717;8;30;40;54;77;0,860;0,860;0,800;0,560;0,880
4718;6;27;42;64;77;0,600;0,520;0,850;0,890;0,870
4719;17;26;39;57;72;0,840;0,620;0,930;0,720;0,580
4720;17;28;50;65;67;0,880;0,730;0,870;0,650;0,750
4721;18;33;42;56;74;0,920;0,970;0,980;0,670;0,590
4722;1;21;34;59;73;0,540;0,840;0,800;0,670;0,630
4723;1;30;37;63;74;0,960;0,540;0,750;0,600;0,720
4724;20;21;41;51;75;0,730;0,880;0,770;0,600;0,950
4725;3;25;45;66;68;0,740;0,510;0,560;0,510;0,720
4726;12;22;43;55;75;0,530;0,970;0,580;0,970;0,700
4727;19;22;46;60;74;0,980;0,950;0,770;0,540;0,560
4728;2;33;40;57;67;0,940;0,980;0,610;0,730;0,820
4729;15;29;34;53;75;0,590;0,940;0,630;0,670;0,740
4730;6;30;39;64;70;0,930;0,980;0,590;0,920;0,940
4731;4;32;48;53;78;0,600;0,570;0,800;0,540;0,730
4732;12;31;46;66;80;0,650;0,540;0,510;0,570;0,700
4733;16;30;36;57;72;0,780;0,920;0,730;0,770;0,970
4734;2;31;42;61;67;0,870;0,870;0,740;0,750;0,700
4735;17;27;50;61;74;0,880;0,810;0,590;0,520;0,600
4736;16;31;40;57;78;0,860;0,670;0,710;0,710;0,620
4737;7;26;42;62;70;0,910;0,800;0,900;0,880;0,660
4738;17;27;38;53;71;0,640;0,510;0,670;0,540;0,680
4739;10;26;49;64;78;0,640;0,540;0,660;0,690;0,860
4740;9;26;35;57;71;0,970;0,620;0,580;0,600;0,920
4741;14;32;38;53;73;0,700;0,790;0,880;0,510;0,860
4742;8;24;39;51;76;0,740;0,640;0,540;0,700;0,760
4743;19;25;40;55;69;0,920;0,910;0,860;0,910;0,730
4744;9;31;36;66;70;0,940;0,630;0,980;0,620;0,890
4745;8;33;43;60;74;0,870;0,650;0,530;0,910;0,630
4746;10;24;50;55;70;0,890;0,610;0,810;0,740;0,930
4747;6;25;49;59;80;0,600;0,600;0,740;0,910;0,670
4748;9;29;41;55;69;0,700;0,900;0,900;0,880;0,540
4749;3;30;48;61;68;0,880;0,660;0,890;0,950;0,920
4750;18;25;43;62;79;0,890;0,900;0,710;0,610;0,730
4751;6;23;39;51;80;0,840;0,970;0,810;0,700;0,670
4752;15;29;34;53;67;0,770;0,660;0,600;0,980;0,730
4753;13;31;42;57;77;0,950;0,970;0,860;0,730;0,840
4754;15;32;44;55;77;0,590;0,790;0,640;0,540;0,620
4755;8;27;35;66;72;0,840;0,880;0,680;0,610;0,790
4756;13;21;37;59;71;0,650;0,580;0,920;0,860;0,790
4757;4;24;38;61;80;0,980;0,810;0,810;0,970;0,970
4758;6;22;44;66;76;0,760;0,930;0,590;0,590;0,870
4759;12;24;41;61;67;0,940;0,560;0,690;0,910;0,570
4760;15;21;49;51;68;0,720;0,830;0,600;0,900;0,860
4761;6;28;47;62;72;0,760;0,720;0,540;0,950;0,800
4762;1;32;42;63;68;0,540;0,610;0,740;0,550;0,900
4763;17;27;49;56;80;0,630;0,750;0,980;0,890;0,580
4764;15;27;38;65;73;0,680;0,840;0,700;0,760;0,920
4765;2;26;45;66;78;0,830;0,890;0,910;0,530;0,720
4766;15;33;45;57;72;0,860;0,960;0,840;0,530;0,920
4767;6;31;36;63;67;0,570;0,950;0,660;0,790;0,600
4768;8;23;46;62;67;0,890;0,940;0,660;0,670;0,960
4769;13;31;43;52;72;0,910;0,900;0,520;0,520;0,950
4770;12;27;49;66;77;0,710;0,820;0,630;0,830;0,970
4771;18;28;46;54;78;0,920;0,890;0,930;0,610;0,930
4772;5;22;34;58;74;0,510;0,790;0,510;0,840;0,930
4773;7;23;39;61;79;0,950;0,510;0,810;0,810;0,630
4774;6;32;36;57;74;0,530;0,660;0,930;0,620;0,620
4775;20;30;39;61;80;0,920;0,860;0,740;0,880;0,760
4776;16;25;35;60;76;0,630;0,530;0,810;0,840;0,830
4777;6;26;47;61;72;0,940;0,890;0,720;0,520;0,600
4778;14;31;47;51;77;0,560;0,540;0,630;0,780;0,770
4779;6;31;50;55;76;0,670;0,790;0,660;0,830;0,950
4780;20;27;50;59;73;0,610;0,710;0,790;0,650;0,930
4781;17;30;45;54;75;0,590;0,550;0,840;0,910;0,640
4782;12;33;38;53;77;0,890;0,670;0,560;0,570;0,590
4783;8;33;38;61;68;0,520;0,780;0,980;0,930;0,980
4784;4;21;42;66;78;0,880;0,620;0,960;0,880;0,580
4785;15;26;50;53;71;0,680;0,650;0,920;0,800;0,870
4786;20;25;41;59;77;0,660;0,630;0,650;0,620;0,780
4787;10;24;50;62;73;0,780;0,510;0,870;0,790;0,680
4788;17;26;47;62;71;0,880;0,590;0,510;0,820;0,810
4789;13;24;34;54;70;0,950;0,700;0,790;0,880;0,540
4790;18;32;34;53;69;0,600;0,760;0,540;0,540;0,860
4791;4;33;35;56;76;0,720;0,740;0,950;0,880;0,960
4792;20;29;42;60;72;0,770;0,960;0,560;0,700;0,720
4793;17;22;50;54;69;0,980;0,700;0,810;0,820;0,550
4794;14;26;40;54;74;0,620;0,730;0,510;0,520;0,880
4795;14;32;44;55;72;0,890;0,600;0,530;0,630;0,790
4796;6;28;37;66;79;0,870;0,650;0,750;0,620;0,850
4797;6;30;41;66;75;0,810;0,980;0,550;0,560;0,550
4798;7;33;43;51;75;0,640;0,690;0,930;0,960;0,710
4799;2;22;41;61;79;0,920;0,590;0,590;0,540;0,640
4800;3;23;36;60;74;0,820;0,690;0,880;0,750;0,550
4801;9;28;45;58;76;0,690;0,750;0,850;0,580;0,810
4802;5;27;41;58;70;0,720;0,610;0,870;0,620;0,690
4803;18;25;42;57;79;0,590;0,530;0,640;0,820;0,690
4804;12;32;45;53;67;0,860;0,770;0,850;0,890;0,700
4805;12;28;37;59;75;0,940;0,950;0,920;0,550;0,980
4806;11;29;49;55;68;0,620;0,970;0,610;0,900;0,980
4807;1;27;42;63;71;0,850;0,910;0,690;0,580;0,900
4808;12;25;47;64;71;0,840;0,870;0,670;0,800;0,630
4809;13;22;36;51;79;0,860;0,550;0,660;0,530;0,590
4810;20;21;38;58;75;0,670;0,840;0,690;0,510;0,860
4811;4;32;46;53;69;0,700;0,880;0,830;0,870;0,880
4812;15;23;48;62;69;0,700;0,870;0,570;0,790;0,660
4813;6;25;34;53;77;0,660;0,920;0,870;0,920;0,510
4814;17;32;35;65;73;0,600;0,820;0,820;0,670;0,910
4815;19;32;44;55;72;0,740;0,720;0,550;0,670;0,540
4816;13;32;39;57;74;0,600;0,540;0,700;0,870;0,770
4817;20;30;43;58;73;0,540;0,740;0,860;0,530;0,870
4818;8;32;40;53;78;0,880;0,740;0,510;0,940;0,860
4819;10;31;43;61;78;0,890;0,540;0,610;0,630;0,620
4820;2;24;48;61;73;0,730;0,930;0,900;0,980;0,550
4821;5;28;49;56;78;0,860;0,940;0,540;0,600;0,590
4822;9;27;43;56;80;0,720;0,660;0,540;0,700;0,980
4823;11;26;38;64;78;0,750;0,640;0,910;0,630;0,810
4824;5;27;41;53;70;0,530;0,540;0,690;0,890;0,610
4825;20;28;49;52;67;0,620;0,980;0,710;0,700;0,720
4826;20;22;45;65;72;0,860;0,710;0,530;0,590;0,700
4827;1;32;49;64;76;0,850;0,930;0,750;0,610;0,690
4828;12;33;46;63;79;0,890;0,840;0,900;0,900;0,610
4829;19;31;47;53;72;0,530;0,620;0,750;0,930;0,670
4830;15;33;37;53;67;0,980;0,740;0,540;0,690;0,880
4831;15;26;41;66;77;0,870;0,660;0,720;0,970;0,680
4832;10;31;41;59;68;0,740;0,880;0,780;0,960;0,800
4833;20;24;41;65;80;0,870;0,760;0,580;0,920;0,740
4834;18;25;37;62;68;0,770;0,760;0,940;0,830;0,970
4835;5;25;36;60;80;0,870;0,520;0,750;0,910;0,590
4836;4;22;43;64;70;0,750;0,900;0,570;0,850;0,870
4837;3;26;40;66;69;0,730;0,570;0,970;0,740;0,590
4838;12;29;47;59;80;0,730;0,920;0,650;0,700;0,740
4839;17;29;39;64;71;0,540;0,620;0,690;0,510;0,630
4840;1;26;42;62;67;0,780;0,850;0,590;0,730;0,580
4841;18;33;47;61;73;0,730;0,700;0,820;0,620;0,810
4842;12;27;34;56;72;0,960;0,520;0,920;0,950;0,950
4843;8;26;38;59;71;0,830;0,520;0,550;0,960;0,850
4844;9;27;34;59;70;0,870;0,870;0,680;0,700;0,740
4845;4;22;34;65;72;0,680;0,590;0,530;0,630;0,610
4846;11;33;44;66;69;0,670;0,700;0,650;0,830;0,940
4847;10;30;34;64;73;0,790;0,730;0,530;0,720;0,830
4848;2;26;47;51;77;0,890;0,960;0,720;0,970;0,870
4849;7;27;38;65;80;0,690;0,630;0,630;0,630;0,670
4850;13;22;44;55;74;0,550;0,940;0,650;0,650;0,830
4851;17;21;44;63;70;0,730;0,540;0,870;0,980;0,800
4852;10;24;34;66;70;0,950;0,810;0,980;0,540;0,770
4853;18;21;41;60;75;0,540;0,630;0,540;0,950;0,690
4854;9;33;38;64;73;0,920;0,680;0,550;0,880;0,570
4855;1;27;40;58;71;0,680;0,720;0,940;0,910;0,770
4856;12;32;34;62;80;0,810;0,630;0,630;0,530;0,540
4857;1;25;41;54;75;0,930;0,660;0,960;0,730;0,640
4858;2;31;43;65;74;0,680;0,530;0,710;0,740;0,920
4859;9;23;49;65;70;0,570;0,880;0,520;0,920;0,780
4860;3;33;38;61;73;0,590;0,670;0,910;0,910;0,850
4861;7;21;46;53;80;0,620;0,930;0,950;0,740;0,740
4862;19;30;50;55;73;0,690;0,670;0,850;0,610;0,610
4863;2;30;38;53;73;0,620;0,960;0,660;0,720;0,730
4864;20;24;44;63;67;0,840;0,570;0,590;0,580;0,920
4865;14;27;39;64;73;0,920;0,610;0,750;0,670;0,520
4866;13;26;41;55;78;0,580;0,510;0,670;0,710;0,610
4867;20;32;46;64;72;0,680;0,520;0,740;0,760;0,850
4868;18;24;42;63;70;0,690;0,890;0,540;0,830;0,640
4869;19;29;34;54;73;0,910;0,840;0,970;0,750;0,640
4870;18;22;40;62;71;0,570;0,860;0,860;0,910;0,700
4871;8;29;48;66;80;0,680;0,600;0,530;0,980;0,560
4872;16;24;35;65;72;0,550;0,810;0,780;0,690;0,690
4873;18;25;47;57;76;0,740;0,820;0,520;0,820;0,910
4874;20;32;44;60;72;0,540;0,790;0,920;0,830;0,590
4875;17;24;49;57;75;0,900;0,700;0,690;0,740;0,540
4876;17;30;48;64;74;0,520;0,620;0,770;0,840;0,870
4877;13;24;50;52;68;0,850;0,790;0,560;0,740;0,940
4878;14;33;45;51;80;0,620;0,540;0,760;0,880;0,870
4879;4;22;44;64;68;0,760;0,770;0,690;0,700;0,630
4880;2;32;38;64;77;0,920;0,700;0,600;0,660;0,830
4881;5;24;40;56;67;0,930;0,880;0,750;0,910;0,530
4882;12;33;34;63;74;0,610;0,830;0,820;0,820;0,880
4883;14;29;47;64;69;0,910;0,620;0,800;0,870;0,550
4884;7;25;50;54;77;0,830;0,730;0,940;0,790;0,970
4885;5;32;40;63;70;0,930;0,650;0,920;0,740;0,560
4886;4;27;44;60;77;0,800;0,800;0,720;0,970;0,550
4887;9;22;43;58;79;0,820;0,730;0,830;0,800;0,940
4888;6;25;44;53;79;0,570;0,980;0,640;0,550;0,650
4889;4;30;37;60;72;0,960;0,570;0,620;0,620;0,630
4890;3;25;47;66;73;0,850;0,940;0,570;0,900;0,940
4891;13;30;36;62;69;0,620;0,700;0,700;0,740;0,860
4892;20;24;45;62;68;0,530;0,830;0,920;0,530;0,560
4893;8;23;43;52;76;0,770;0,830;0,860;0,660;0,790
4894;6;24;49;51;74;0,850;0,740;0,730;0,960;0,970
4895;20;26;36;53;70;0,700;0,530;0,650;0,530;0,580
4896;18;26;37;58;75;0,930;0,940;0,650;0,870;0,600
4897;15;24;36;58;67;0,720;0,580;0,840;0,530;0,860
4898;9;31;35;58;77;0,590;0,730;0,840;0,870;0,850
4899;7;31;50;62;70;0,610;0,590;0,880;0,750;0,510
4900;1;24;50;57;71;0,840;0,520;0,860;0,590;0,680
4901;14;28;40;56;68;0,580;0,600;0,610;0,970;0,910
4902;18;27;44;64;75;0,530;0,620;0,620;0,530;0,650
4903;17;29;47;55;74;0,540;0,550;0,780;0,850;0,870
4904;5;32;34;56;70;0,790;0,770;0,690;0,700;0,950
4905;8;31;42;55;72;0,660;0,530;0,570;0,580;0,940
4906;13;27;35;63;72;0,580;0,890;0,860;0,910;0,720
4907;4;29;35;52;76;0,510;0,660;0,560;0,520;0,570
4908;5;23;38;64;80;0,780;0,730;0,550;0,870;0,800
4909;14;29;35;64;80;0,890;0,870;0,950;0,610;0,930
4910;4;21;47;55;77;0,520;0,980;0,830;0,750;0,780
4911;19;30;42;54;67;0,530;0,930;0,860;0,610;0,680
4912;9;28;50;58;69;0,720;0,520;0,960;0,670;0,980
4913;15;32;42;66;69;0,710;0,710;0,730;0,820;0,670
4914;19;27;41;64;75;0,730;0,920;0,900;0,560;0,970
4915;9;30;50;52;71;0,560;0,800;0,960;0,720;0,820
4916;8;21;50;58;71;0,540;0,780;0,590;0,620;0,960
4917;18;24;40;63;77;0,590;0,850;0,880;0,820;0,710
4918;14;29;34;64;68;0,760;0,750;0,840;0,720;0,860
4919;4;32;42;60;76;0,530;0,910;0,940;0,600;0,790
4920;20;28;34;56;78;0,840;0,640;0,810;0,770;0,590
4921;10;32;43;57;68;0,630;0,670;0,920;0,950;0,890
4922;14;24;40;57;69;0,580;0,740;0,710;0,720;0,810
4923;20;33;37;52;76;0,630;0,770;0,560;0,600;0,810
4924;5;32;46;53;71;0,600;0,720;0,960;0,740;0,690
4925;10;31;40;53;67;0,560;0,770;0,620;0,810;0,760
4926;7;30;38;60;70;0,880;0,880;0,600;0,900;0,780
4927;20;33;50;62;68;0,540;0,580;0,800;0,760;0,790
4928;9;31;48;57;70;0,830;0,940;0,840;0,560;0,760
4929;10;28;45;51;71;0,640;0,650;0,870;0,570;0,580
4930;1;24;46;51;79;0,970;0,620;0,580;0,890;0,940
4931;13;22;48;51;77;0,650;0,730;0,830;0,930;0,510
4932;1;26;44;51;74;0,680;0,640;0,530;0,880;0,880
4933;3;33;41;54;79;0,730;0,660;0,890;0,620;0,780
4934;12;21;36;53;71;0,530;0,570;0,860;0,790;0,670
4935;8;23;49;51;75;0,670;0,860;0,810;0,510;0,630
4936;8;30;43;53;68;0,750;0,590;0,650;0,640;0,840
4937;19;21;50;62;79;0,630;0,570;0,890;0,670;0,810
4938;7;27;38;51;73;0,600;0,740;0,520;0,620;0,650
4939;19;32;40;63;74;0,930;0,890;0,930;0,790;0,700
4940;19;32;47;54;76;0,710;0,970;0,960;0,570;0,770
4941;10;30;47;53;75;0,950;0,820;0,760;0,660;0,840
4942;7;23;46;65;76;0,550;0,760;0,840;0,590;0,650
4943;17;31;38;66;67;0,560;0,790;0,960;0,710;0,880
4944;8;31;37;66;80;0,760;0,650;0,570;0,660;0,740
4945;6;33;42;64;77;0,890;0,550;0,670;0,570;0,640
4946;4;29;46;60;70;0,810;0,650;0,660;0,940;0,520
4947;11;24;41;66;80;0,810;0,530;0,630;0,560;0,900
4948;12;26;44;52;74;0,820;0,770;0,780;0,920;0,710
4949;2;22;42;58;72;0,550;0,770;0,680;0,860;0,900
4950;20;23;40;51;73;0,940;0,720;0,920;0,620;0,560
4951;10;21;37;53;70;0,740;0,750;0,950;0,920;0,590
4952;19;30;36;62;80;0,590;0,870;0,710;0,530;0,660
4953;15;31;36;55;74;0,750;0,690;0,590;0,730;0,850
4954;14;23;46;54;72;0,720;0,640;0,910;0,970;0,920
4955;18;28;47;59;70;0,970;0,910;0,720;0,620;0,640
4956;6;27;37;52;72;0,650;0,750;0,510;0,560;0,950
4957;20;32;48;66;73;0,530;0,570;0,710;0,740;0,580
4958;20;24;50;55;79;0,590;0,610;0,930;0,620;0,640
4959;8;27;50;59;67;0,780;0,840;0,920;0,730;0,770
4960;3;32;44;56;78;0,960;0,560;0,700;0,950;0,780
4961;8;25;49;59;68;0,880;0,660;0,980;0,570;0,860
4962;5;31;39;57;79;0,550;0,810;0,760;0,690;0,840
4963;14;24;36;59;76;0,980;0,940;0,880;0,800;0,630
4964;16;33;34;66;68;0,650;0,870;0,640;0,530;0,840
4965;8;32;35;51;74;0,950;0,970;0,910;0,800;0,830
4966;3;26;42;61;76;0,530;0,870;0,850;0,770;0,920
4967;5;32;49;66;79;0,930;0,790;0,960;0,980;0,900
4968;18;29;42;65;80;0,580;0,850;0,510;0,870;0,510
4969;7;21;42;55;80;0,930;0,800;0,750;0,920;0,780
4970;20;23;38;57;74;0,740;0,700;0,850;0,510;0,580
4971;20;32;42;66;70;0,980;0,650;0,830;0,520;0,740
4972;15;33;38;63;71;0,590;0,530;0,700;0,680;0,690
4973;19;25;48;61;70;0,610;0,560;0,920;0,660;0,840
4974;3;33;45;54;74;0,520;0,720;0,960;0,620;0,660
4975;11;21;40;61;71;0,760;0,650;0,920;0,600;0,650
4976;17;21;47;66;70;0,940;0,610;0,840;0,800;0,740
4977;20;30;38;60;71;0,590;0,930;0,890;0,630;0,700
4978;12;27;36;53;71;0,740;0,960;0,540;0,860;0,930
